team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,icetime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
VGK,2024,VGK,VGK,Team Level,other,82,0.55,0.45,0.46,8358,110.32,34.22,7.59,17.62,3.65,58.8,32.11,31.65,34.22,31.65,104,50,53,207,36,11,1,15,0,60,32,68,118,1,2,97,22,12,33,64,37,53,2.67,4.9,26.64,4,7,25,207,154,154,16,2.27,3,3,33.49,33.49,31.35,130.52,27.88,9.78,23.12,4.48,75.3,37.44,24.38,27.88,24.38,106,72,75,253,18,12,2,22,4,78,44,88,160,2,4,96,22,14,29,90,46,42,3.61,5.49,18.77,4,4,10,253,178,178,11,2.97,4.64,4.64,26.21,26.21,23.7
VGK,2024,VGK,VGK,Team Level,all,82,0.54,0.51,0.52,298066,2662.75,275.76,177.08,637.44,88.61,1423.85,1036.26,259.83,278.14,262.14,2480,1159,1324,4963,274,274,32,543,8,1192,1348,2206,3365,189,431,2332,1488,401,1304,2625,676,338,77.74,83.76,114.25,93,97,84,5025.8,3639,3678.18,599,38.98,58.29,58.31,256.44,258.63,249.08,2467.91,232.08,162.86,606.62,83.86,1341.14,967.43,219.34,231.82,219.09,2141,1253,1395,4789,214,267,36,454,6,1183,1270,1927,3180,207,463,2294,1918,386,1265,2534,598,262,72.61,74.27,85.21,80,69,65,4758.7,3394,3382.52,590,35.82,56.59,56.83,211.07,210.81,204.32
VGK,2024,VGK,VGK,Team Level,5on5,82,0.53,0.51,0.52,256620,2215.6,191.44,141.23,553.25,73.89,1184.72,891.47,183.89,193.82,186.19,2037,999,1158,4194,184,234,28,468,8,986,1156,1853,2852,176,399,1930,1419,362,1192,2280,547,209,67.25,67.71,56.48,82,74,28,4256.8,3036,3075.18,560,29.39,48.24,48.27,172.56,174.76,171.73,2054.39,172.33,129.9,524.25,70.03,1106.75,824.74,164.79,172.07,164.53,1780,1048,1172,4000,155,221,27,395,2,959,1096,1625,2673,196,439,1901,1844,339,1163,2167,477,184,60.97,59.93,51.43,70,50,35,3969.7,2828,2816.52,551,26.94,43.09,43.28,155.99,155.73,152.89
VGK,2024,VGK,VGK,Team Level,4on5,82,0.16,0.13,0.15,15866,45.19,5.16,2.84,7.2,1.58,14.56,28.66,5.05,5.16,5.05,48,12,9,69,6,1,0,5,0,8,40,42,54,4,12,125,37,21,27,37,16,7,1.17,1.98,2,3,3,0,69,60,60,20,0.65,0.3,0.3,5.51,5.51,5.45,242.72,27.89,21.31,53.29,8.07,146.73,77.71,26.27,27.89,26.27,217,118,135,470,38,30,6,33,0,138,96,179,297,4,10,152,11,17,41,242,61,32,6.97,7.08,13.84,5,14,19,470,335,335,1,5.49,7.75,7.81,25.57,25.57,24.45
VGK,2024,VGK,VGK,Team Level,5on4,82,0.92,0.88,0.88,17222,291.62,44.94,25.41,59.37,9.48,165.77,84.03,39.25,44.94,39.25,291,98,104,493,48,28,3,55,0,138,120,243,341,8,18,180,10,6,52,244,76,69,6.65,9.17,29.12,4,13,31,493,389,389,3,6.67,6.74,6.74,44.87,44.87,40.56,40.27,3.98,1.88,5.97,1.27,12.36,27.54,3.9,3.98,3.9,38,15,13,66,3,4,1,4,0,8,34,35,50,5,10,145,41,16,32,35,14,4,1.06,1.77,1.16,1,1,1,66,53,53,27,0.43,1.11,1.11,3.3,3.3,3.28
TOR,2024,TOR,TOR,Team Level,other,82,0.52,0.47,0.49,12121,171.69,47.24,11.66,29.11,5.9,86.16,55.93,43.71,47.24,43.71,160,76,68,304,43,20,2,22,0,78,73,117,193,2,6,138,16,17,42,109,52,75,4.53,6.59,36.13,9,6,28,304,236,236,22,3.34,6.65,6.65,43.94,43.94,41.73,176.72,44.31,13.11,30.99,5.92,98.01,51.65,39.38,44.31,39.38,157,87,95,339,40,15,1,28,0,95,66,117,204,5,18,133,20,16,39,129,54,61,5.22,6.68,32.42,7,8,25,339,244,244,13,3.73,4.91,4.91,43.14,43.14,39.84
TOR,2024,TOR,TOR,Team Level,all,82,0.49,0.47,0.48,297635,2498.87,261.11,168.13,595.97,83.33,1342.19,967.26,247.42,262.62,248.87,2298,1120,1240,4658,267,243,28,464,5,1030,1409,2031,3151,276,618,2433,1962,378,1234,2487,626,305,71.21,78.74,111.16,88,95,84,4684.16,3418,3438.69,610,37.59,52.05,52.33,246.37,247.55,239.5,2672.42,266.66,177.42,657.52,90.63,1461.9,1048.86,251.32,266.57,251.24,2406,1297,1496,5199,229,291,27,516,2,1219,1446,2177,3474,260,603,2094,1711,381,1189,2765,634,304,76.34,79.56,110.77,84,76,69,5172.54,3703,3699.71,536,39.43,58.63,58.81,247.28,247.26,239.04
TOR,2024,TOR,TOR,Team Level,5on5,82,0.5,0.47,0.48,243777,1950.1,160.95,124.63,489.65,64.83,1053.15,776.8,155.15,162.45,156.61,1792,878,1023,3693,169,178,15,372,5,791,1155,1623,2501,258,577,1887,1883,328,1088,2039,475,156,56.74,60.07,44.13,67,79,23,3719.16,2670,2690.69,540,25.83,34.82,35.63,151.16,152.33,150.01,2066.84,162.14,129.81,536.76,70.5,1134.44,843.34,156.42,162.05,156.33,1845,1032,1226,4103,136,225,21,406,2,908,1200,1709,2741,230,532,1612,1631,324,1048,2265,449,163,59.95,56.46,45.73,68,49,19,4076.54,2877,2873.71,495,26.84,39.86,40.34,148.65,148.63,146.55
TOR,2024,TOR,TOR,Team Level,4on5,82,0.08,0.11,0.13,21651,53.94,4.32,2.56,8.09,1.68,17.46,38.89,4.26,4.32,4.26,58,15,6,79,5,0,0,7,0,11,50,53,68,7,17,200,45,22,39,55,14,4,1.45,1.83,1.04,4,0,1,79,73,73,37,0.6,0,0,4.92,4.92,4.84,357.96,52.57,30.6,78.17,11.76,206.47,106.42,48.22,52.57,48.22,324,162,172,658,48,42,5,76,0,198,122,276,438,19,41,198,18,17,79,307,111,68,9.44,13.56,29.57,9,15,24,658,486,486,7,7.97,11.66,11.36,49.18,49.18,46.38
TOR,2024,TOR,TOR,Team Level,5on4,82,0.86,0.85,0.82,20086,323.14,48.6,29.28,69.12,10.93,185.43,95.64,44.29,48.6,44.29,288,151,143,582,50,45,11,63,0,150,131,238,389,9,18,208,18,11,65,284,85,70,8.48,10.25,29.87,8,10,32,582,439,439,11,7.82,10.58,10.05,46.37,46.37,42.91,70.9,7.64,3.89,11.6,2.46,22.96,47.45,7.3,7.64,7.3,80,16,3,99,5,9,0,6,0,18,58,75,91,6,12,151,42,24,23,64,20,12,1.73,2.87,3.04,0,4,1,99,96,96,21,0.88,2.21,2.21,6.32,6.32,6.26
